Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Michoac n,2005,3,Hombres,140757,993033,14.174453420000000000000
Morelos,2005,3,Hombres,46983,416229,11.287776680000000000000
Nayarit,2005,3,Hombres,18787,250253,7.5072027110000000000000
Nuevo Le n,2005,3,Hombres,313260,1190220,26.319503960000000000000
Oaxaca,2005,3,Hombres,67299,908420,7.4083573680000000000000
Puebla,2005,3,Hombres,233484,1333871,17.504241410000000000000
Quer taro,2005,3,Hombres,95335,402911,23.661553050000000000000
Quintana Roo,2005,3,Hombres,22049,332109,6.6390853610000000000000
San Luis Potos ,2005,3,Hombres,104331,593450,17.580419580000000000000
Sinaloa,2005,3,Hombres,69407,699118,9.9277947360000000000000
Sonora,2005,3,Hombres,99551,619562,16.067964140000000000000
Tabasco,2005,3,Hombres,31508,542164,5.8115256640000000000000
Tamaulipas,2005,3,Hombres,148458,791775,18.750023680000000000000
Tlaxcala,2005,3,Hombres,61391,272015,22.568975980000000000000
Veracruz,2005,3,Hombres,174362,1817213,9.5950227080000000000000
Yucat n,2005,3,Hombres,90213,495060,18.222639680000000000000
Zacatecas,2005,3,Hombres,26015,346825,7.5009010310000000000000
Nacional,2005,4,Hombres,4348251,26993388,16.108578150000000000000
Aguascalientes,2005,4,Hombres,58213,258498,22.519710020000000000000
Baja California,2005,4,Hombres,155452,774211,20.078764060000000000000
Baja California Sur,2005,4,Hombres,9108,156294,5.8274789820000000000000
Campeche,2005,4,Hombres,18416,211113,8.7232903710000000000000
Coahuila,2005,4,Hombres,176864,643388,27.489477580000000000000
Colima,2005,4,Hombres,16178,157662,10.261191660000000000000
Chiapas,2005,4,Hombres,58917,1141005,5.1636057690000000000000
Chihuahua,2005,4,Hombres,190135,878534,21.642304110000000000000
Ciudad de M xico,2005,4,Hombres,323505,2312440,13.989768380000000000000
Durango,2005,4,Hombres,70110,384284,18.244319310000000000000
Guanajuato,2005,4,Hombres,307479,1235657,24.883847220000000000000
Guerrero,2005,4,Hombres,47492,762389,6.2293658490000000000000
Hidalgo,2005,4,Hombres,84724,594997,14.239399530000000000000
Jalisco,2005,4,Hombres,357572,1770229,20.199194570000000000000
M xico,2005,4,Hombres,682457,3595444,18.98116060000000000000
Michoac n,2005,4,Hombres,145688,994406,14.650756330000000000000
Morelos,2005,4,Hombres,47747,422774,11.293740860000000000000
Nayarit,2005,4,Hombres,20072,264945,7.5759119820000000000000
Nuevo Le n,2005,4,Hombres,332157,1214332,27.353063250000000000000
Oaxaca,2005,4,Hombres,67200,888125,7.5665024630000000000000
Puebla,2005,4,Hombres,243930,1324739,18.413438420000000000000
Quer taro,2005,4,Hombres,94902,417750,22.717414720000000000000
Quintana Roo,2005,4,Hombres,21618,335107,6.4510738360000000000000
San Luis Potos ,2005,4,Hombres,101607,594842,17.081342610000000000000
Sinaloa,2005,4,Hombres,73098,727673,10.045446240000000000000
Sonora,2005,4,Hombres,101596,642899,15.802793280000000000000
Tabasco,2005,4,Hombres,34758,547966,6.343094280000000000000
Tamaulipas,2005,4,Hombres,153867,814984,18.879757150000000000000
Tlaxcala,2005,4,Hombres,62629,274862,22.785616050000000000000
Veracruz,2005,4,Hombres,177063,1809574,9.7847891270000000000000
Yucat n,2005,4,Hombres,87066,488417,17.826160840000000000000
Zacatecas,2005,4,Hombres,26631,353848,7.5261129070000000000000
